poem小韵号	nk2028字头	unt修改后编码	切韵拼音
933	㓝	jvA	gheng
934	庭	GvA	deng
935	丁	EvA	teng
936	馨	ivA	heng
937	星	QvA	seng
938	竮	BvA	pheng
939	靈	IvA	leng
940	寧	HvA	neng
941	汀	FvA	theng
942	冥	DvA	meng
943	瓶	CvA	beng
944	熒	jvI	ghweng
945	扃	dvI	kweng
946	蒸	XwA	tjyng
947	承	ZwA	djyng
948	澂	LwA	dryng
949	陵	IwA	lyng
950	膺	hwA	qyng
951	凭	CwA	bying
952	冫	AwA	pying
953	蠅	lwA	jyng
954	繩	bwA	zjyng
955	升	awA	sjyng
956	仍	cwA	njyng
957	兢	dwA	kyng
958	徵	JwA	tryng
959	繒	PwA	dzyng
960	凝	gwA	ngyng
961	興	iwA	hyng
962	稱	YwA	tjhyng
963	殑	fwA	gyng
964	㱡	VwA	sryng
965	硱	ewA	khying
966	僜	KwA	trhyng
967	磳	UwA	dzryng
968	砯	BwA	phying
969	登	ExA	teong
970	楞	IxA	leong
971	僧	QxA	seong
972	崩	AxA	peong
973	增	NxA	tseong
974	瞢	DxA	meong
975	層	PxA	dzeong
976	朋	CxA	beong
977	弘	jxI	ghweong
978	肱	dxI	kweong
979	薨	ixI	hweong
980	能	HxA	neong
981	騰	GxA	deong
982	恆	jxA	gheong
983	揯	dxA	keong
984	鼟	FxA	theong
985	漰	BxA	pheong
986	尤	kyA	u
987	憂	hyA	qu
988	劉	IyA	lu
989	秋	OyA	tshu
990	猷	lyA	ju
991	牛	gyA	ngu
992	遒	NyA	tsu
993	酋	PyA	dzu
994	脩	QyA	su
995	抽	KyA	trhu
996	𠁫	e0A	khyiw
997	犫	YyA	tjhu
998	周	XyA	tju
999	讎	ZyA	dju
1000	柔	cyA	nju
1001	收	ayA	sju
1002	丘	eyA	khu
1003	䬌	ByA	phu
1004	鳩	dyA	ku
1005	不	AyA	pu
1006	𢯱	VyA	sru
1007	搊	TyA	tsrhu
1008	鄒	SyA	tsru
1009	愁	UyA	dzru
1010	休	iyA	hu
1011	囚	RyA	zu
1012	儔	LyA	dru
1013	輈	JyA	tru
1014	𧚍	fyA	gu
1015	浮	CyA	bu
1016	謀	DyA	mu
1017	侯	jzA	ghou
1018	謳	hzA	qou
1019	羺	HzA	nou
1020	樓	IzA	lou
1021	涑	QzA	sou
1022	彄	ezA	khou
1023	齁	izA	hou
1024	𣠏	NzA	tsou
1025	偷	FzA	thou
1026	頭	GzA	dou
1027	齵	gzA	ngou
1028	鉤	dzA	kou
1029	兜	EzA	tou
1030	㔌	PzA	dzou
1031	裒	CzA	bou
1032	䜅	OzA	tshou
1033	呣	DyA	mu
1034	幽	h0A	qiw
1035	虯	f0A	giw
1036	彪	A0A	pyiw
1037	鏐	I0A	liw
1038	樛	d0A	kiw
1039	淲	C0A	byiw
1040	稵	NHA	tsy
1041	犙	Q2A	som
1042	聱	g0A	ngiw
1043	飍	i0A	hiw
1043	烋	i0A	hyiw
1044	繆	D0A	myiw
1045	侵	O1A	tshim
1046	尋	R1A	zim
1047	林	I1A	lim
1048	琛	K1A	trhim
1049	斟	X1A	tjim
1050	沈	L1A	drim
1051	碪	J1A	trim
1052	諶	Z1A	djim
1053	任	c1A	njim
1054	深	a1A	sjim
1055	淫	l1A	jim
1056	心	Q1A	sim
1057	愔	h1A	qim
1058	祲	N1A	tsim
1059	𩷒	P1A	dzim
1060	䛘	M1A	nrim
1061	琴	f1E	gyim
1062	欽	e1E	khyim
1063	吟	g1E	ngyim
1064	歆	i1E	hyim
1065	金	d1E	kyim
1066	音	h1E	qyim
1067	森	V1A	sryim
1068	岑	U1A	dzryim
